returned,Order ID,region,Customer ID,Product ID
Yes,ORD-84,Western Europe,CUS-AS-COR-84,OFF-BI-84
Yes,ORD-85,Southern Asia,CUS-JB-CON-85,TEC-PH-85
Yes,ORD-86,Southern US,CUS-AM-CON-86,OFF-AP-86
Yes,ORD-87,Central America,CUS-AB-HOM-87,OFF-AP-87
Yes,ORD-88,Southeastern Asia,CUS-RP-COR-88,TEC-CO-88
Yes,ORD-89,Southern Europe,CUS-BK-CON-89,FUR-BO-89
Yes,ORD-90,Western Europe,CUS-JM-CON-90,TEC-CO-90
Yes,ORD-91,Western Europe,CUS-GP-COR-91,TEC-PH-91
Yes,ORD-92,Eastern US,CUS-AS-COR-92,FUR-TA-92
Yes,ORD-93,Western US,CUS-NZ-HOM-93,OFF-AP-93
Yes,ORD-94,Oceania,CUS-AS-COR-94,OFF-BI-94
Yes,ORD-95,South America,CUS-SC-COR-95,FUR-CH-95
Yes,ORD-96,Southeastern Asia,CUS-NC-COR-96,FUR-TA-96
Yes,ORD-97,Southern Europe,CUS-NF-CON-97,FUR-BO-97
Yes,ORD-98,Southern Asia,CUS-NZ-HOM-98,FUR-CH-98
Yes,ORD-99,Southern US,CUS-PM-CON-99,TEC-MA-99
Yes,ORD-100,Southern Asia,CUS-MZ-HOM-100,OFF-AP-100
Yes,ORD-101,Western US,CUS-HM-CON-101,TEC-PH-101
Yes,ORD-102,Western US,CUS-RW-COR-102,TEC-PH-102
Yes,ORD-103,Western Europe,CUS-LH-CON-103,TEC-PH-103
Yes,ORD-104,Eastern Asia,CUS-FH-COR-104,TEC-PH-104
Yes,ORD-105,Eastern Asia,CUS-KM-CON-105,TEC-CO-105
Yes,ORD-106,South America,CUS-PO-CON-106,TEC-PH-106
Yes,ORD-107,Southern US,CUS-AS-COR-107,OFF-PA-107
Yes,ORD-108,Western Europe,CUS-AB-HOM-108,FUR-BO-108
Yes,ORD-109,Oceania,CUS-DB-CON-109,OFF-AP-109
Yes,ORD-110,Western Europe,CUS-VM-HOM-110,FUR-CH-110
Yes,ORD-111,Western US,CUS-AS-COR-111,OFF-ST-111
Yes,ORD-112,Western Europe,CUS-DM-COR-112,TEC-PH-112
Yes,ORD-113,Oceania,CUS-NM-CON-113,FUR-BO-113
Yes,ORD-114,South America,CUS-LC-CON-114,TEC-CO-114
Yes,ORD-115,Central US,CUS-RO-CON-115,OFF-AP-115
Yes,ORD-116,Western Europe,CUS-AS-COR-116,OFF-PA-116
Yes,ORD-117,Southern Asia,CUS-EM-CON-117,TEC-CO-117
Yes,ORD-118,Southern Asia,CUS-AS-COR-118,OFF-BI-118
Yes,ORD-119,Southern Europe,CUS-ON-COR-119,FUR-CH-119
Yes,ORD-120,South America,CUS-VS-CON-120,FUR-BO-120
Yes,ORD-121,Central America,CUS-CM-CON-121,TEC-CO-121
Yes,ORD-122,Southeastern Asia,CUS-AB-HOM-122,FUR-TA-122
Yes,ORD-123,Southeastern Asia,CUS-AB-HOM-123,OFF-BI-123
Yes,ORD-124,Southern Europe,CUS-JK-COR-124,TEC-CO-124
Yes,ORD-125,Western Europe,CUS-RP-COR-125,TEC-CO-125
Yes,ORD-126,Western Europe,CUS-DW-CON-126,TEC-PH-126
Yes,ORD-127,Western US,CUS-AB-HOM-127,FUR-CH-127
Yes,ORD-128,Oceania,CUS-AB-HOM-128,OFF-AP-128
Yes,ORD-129,Eastern Europe,CUS-AB-HOM-129,TEC-AC-129
Yes,ORD-130,Western Europe,CUS-GM-CON-130,TEC-CO-130
Yes,ORD-131,Central America,CUS-SV-COR-131,TEC-CO-131
Yes,ORD-132,Central America,CUS-MM-CON-132,TEC-AC-132
Yes,ORD-133,Western Europe,CUS-JK-HOM-133,FUR-BO-133
Yes,ORD-134,Southern US,CUS-EM-HOM-134,TEC-PH-134
Yes,ORD-135,Western US,CUS-AB-HOM-135,OFF-PA-135
Yes,ORD-136,Western US,CUS-PM-CON-136,FUR-BO-136
Yes,ORD-137,Western US,CUS-AT-HOM-137,OFF-AP-137
Yes,ORD-138,South America,CUS-AB-CON-138,TEC-MA-138
Yes,ORD-139,Southern US,CUS-AB-HOM-139,OFF-FA-139
Yes,ORD-140,Southeastern Asia,CUS-AB-HOM-140,OFF-PA-140
Yes,ORD-141,Western Asia,CUS-PV-HOM-141,TEC-AC-141
Yes,ORD-142,Southeastern Asia,CUS-SB-COR-142,TEC-CO-142
Yes,ORD-143,Southeastern Asia,CUS-SM-CON-143,TEC-PH-143
Yes,ORD-144,Southeastern Asia,CUS-AB-HOM-144,OFF-PA-144
Yes,ORD-145,Western Europe,CUS-KH-COR-145,OFF-AP-145
Yes,ORD-146,Western Europe,CUS-MP-HOM-146,TEC-PH-146
Yes,ORD-147,Southern US,CUS-LH-CON-147,TEC-CO-147
Yes,ORD-148,North Africa,CUS-AB-HOM-148,TEC-AC-148
Yes,ORD-149,Southern Asia,CUS-CR-HOM-149,FUR-BO-149
Yes,ORD-150,Northern Europe,CUS-NC-COR-150,TEC-AC-150
Yes,ORD-151,Western Europe,CUS-GM-CON-151,OFF-AP-151
Yes,ORD-152,Eastern US,CUS-RA-CON-152,FUR-BO-152
Yes,ORD-153,Southeastern Asia,CUS-DB-CON-153,TEC-CO-153
Yes,ORD-154,Western Europe,CUS-AB-HOM-154,FUR-FU-154
Yes,ORD-155,Eastern Europe,CUS-RF-CON-155,TEC-PH-155
Yes,ORD-156,Southeastern Asia,CUS-JH-CON-156,TEC-PH-156
Yes,ORD-157,Eastern US,CUS-AB-HOM-157,OFF-BI-157
Yes,ORD-158,Southern Europe,CUS-DM-COR-158,FUR-TA-158
Yes,ORD-159,Central America,CUS-AB-HOM-159,OFF-SU-159
Yes,ORD-160,Western US,CUS-BE-HOM-160,OFF-AP-160
Yes,ORD-161,Oceania,CUS-SO-CON-161,OFF-AP-161
Yes,ORD-162,Southern Europe,CUS-DK-COR-162,OFF-AP-162
Yes,ORD-163,Caribbean,CUS-LC-CON-163,TEC-PH-163
Yes,ORD-164,Southern Asia,CUS-PB-COR-164,FUR-TA-164
Yes,ORD-165,Southern US,CUS-CG-CON-165,OFF-AP-165
Yes,ORD-166,Western Europe,CUS-AB-HOM-166,OFF-PA-166
Yes,ORD-167,Western Asia,CUS-HG-CON-167,FUR-BO-167
Yes,ORD-168,Oceania,CUS-AD-HOM-168,FUR-CH-168
Yes,ORD-169,Central US,CUS-BP-CON-169,TEC-PH-169
Yes,ORD-170,South America,CUS-AA-CON-170,TEC-PH-170
Yes,ORD-171,Western Europe,CUS-RL-CON-171,FUR-BO-171
Yes,ORD-172,Central America,CUS-AB-HOM-172,OFF-BI-172
Yes,ORD-173,Western Europe,CUS-SW-CON-173,TEC-PH-173
Yes,ORD-174,Southern Africa,CUS-AB-HOM-174,TEC-AC-174
Yes,ORD-175,Western Europe,CUS-BW-COR-175,FUR-TA-175
Yes,ORD-176,Eastern Asia,CUS-YC-COR-176,FUR-BO-176
Yes,ORD-177,Western Europe,CUS-JM-CON-177,TEC-PH-177
Yes,ORD-178,Western Europe,CUS-MZ-HOM-178,FUR-CH-178
Yes,ORD-179,Southern Asia,CUS-JF-CON-179,TEC-AC-179
Yes,ORD-180,Western Europe,CUS-AB-HOM-180,OFF-PA-180
Yes,ORD-181,Caribbean,CUS-DJ-COR-181,OFF-AP-181
Yes,ORD-182,Eastern US,CUS-MF-COR-182,TEC-MA-182
Yes,ORD-183,Eastern Asia,CUS-TC-CON-183,FUR-TA-183
Yes,ORD-184,Western Asia,CUS-AB-HOM-184,OFF-PA-184
Yes,ORD-185,Central America,CUS-CP-COR-185,OFF-AP-185
Yes,ORD-186,Western Europe,CUS-EH-HOM-186,TEC-PH-186
Yes,ORD-187,Central America,CUS-NC-CON-187,FUR-TA-187
Yes,ORD-188,Oceania,CUS-BF-HOM-188,OFF-AP-188
Yes,ORD-189,Western US,CUS-JS-CON-189,FUR-TA-189
Yes,ORD-190,Western Europe,CUS-AM-COR-190,TEC-PH-190
Yes,ORD-191,South America,CUS-JF-CON-191,FUR-TA-191
Yes,ORD-192,Central America,CUS-AB-CON-192,FUR-CH-192
Yes,ORD-193,Western Europe,CUS-JG-CON-193,FUR-TA-193
Yes,ORD-194,Southern Asia,CUS-AH-COR-194,FUR-TA-194
Yes,ORD-195,South America,CUS-AG-CON-195,OFF-AP-195
Yes,ORD-196,Central America,CUS-AH-COR-196,FUR-FU-196
Yes,ORD-197,Eastern US,CUS-NF-HOM-197,OFF-AP-197
Yes,ORD-198,Central America,CUS-AH-COR-198,FUR-TA-198
Yes,ORD-199,Eastern Asia,CUS-DR-HOM-199,OFF-AP-199
Yes,ORD-200,Eastern Asia,CUS-NB-COR-200,OFF-ST-200
Yes,ORD-201,Caribbean,CUS-NM-HOM-201,TEC-CO-201
Yes,ORD-202,Southern US,CUS-TA-HOM-202,OFF-AP-202
Yes,ORD-203,Central US,CUS-AH-COR-203,OFF-BI-203
Yes,ORD-204,Northern Europe,CUS-SC-CON-204,OFF-AP-204
Yes,ORD-205,Central America,CUS-PA-HOM-205,OFF-ST-205
Yes,ORD-206,Southeastern Asia,CUS-RB-CON-206,FUR-BO-206
Yes,ORD-207,Central America,CUS-AH-COR-207,OFF-SU-207
Yes,ORD-208,Western Africa,CUS-AH-COR-208,FUR-FU-208
Yes,ORD-209,Southern Asia,CUS-LH-CON-209,TEC-PH-209
Yes,ORD-210,Western US,CUS-AH-COR-210,TEC-AC-210
Yes,ORD-211,Southeastern Asia,CUS-KB-COR-211,TEC-CO-211
Yes,ORD-212,Oceania,CUS-LH-CON-212,OFF-AP-212
Yes,ORD-213,Central US,CUS-AH-COR-213,OFF-ST-213
Yes,ORD-214,Southeastern Asia,CUS-MZ-COR-214,TEC-MA-214
Yes,ORD-215,Eastern US,CUS-DM-COR-215,OFF-ST-215
Yes,ORD-216,North Africa,CUS-CA-COR-216,TEC-PH-216
Yes,ORD-217,Oceania,CUS-SC-CON-217,FUR-BO-217
Yes,ORD-218,Central US,CUS-MH-HOM-218,FUR-BO-218
Yes,ORD-219,Central America,CUS-KS-COR-219,FUR-BO-219
Yes,ORD-220,Central America,CUS-BG-CON-220,TEC-PH-220
Yes,ORD-221,Western Europe,CUS-CR-HOM-221,FUR-BO-221
Yes,ORD-222,Western Asia,CUS-AH-COR-222,FUR-FU-222
Yes,ORD-223,Northern Europe,CUS-DK-CON-223,TEC-CO-223
Yes,ORD-224,Eastern US,CUS-JL-CON-224,TEC-PH-224
Yes,ORD-225,Southeastern Asia,CUS-AP-HOM-225,TEC-PH-225
Yes,ORD-226,Oceania,CUS-CR-HOM-226,TEC-PH-226
Yes,ORD-227,Central US,CUS-BF-CON-227,FUR-CH-227
Yes,ORD-228,South America,CUS-JM-COR-228,OFF-AP-228
Yes,ORD-229,Oceania,CUS-NM-HOM-229,FUR-CH-229
Yes,ORD-230,Central America,CUS-TW-HOM-230,FUR-BO-230
Yes,ORD-231,Eastern Europe,CUS-RB-CON-231,FUR-CH-231
Yes,ORD-232,Southern US,CUS-AH-COR-232,OFF-SU-232
Yes,ORD-233,Eastern US,CUS-AH-COR-233,FUR-CH-233
Yes,ORD-234,Caribbean,CUS-AB-HOM-234,OFF-AP-234
Yes,ORD-235,South America,CUS-JR-CON-235,TEC-PH-235
Yes,ORD-236,South America,CUS-MD-CON-236,OFF-AP-236
Yes,ORD-237,Central America,CUS-AH-COR-237,OFF-PA-237
Yes,ORD-238,Western Europe,CUS-EB-COR-238,OFF-AP-238
Yes,ORD-239,Central America,CUS-AH-COR-239,OFF-PA-239
Yes,ORD-240,Eastern US,CUS-AH-COR-240,OFF-FA-240
Yes,ORD-241,Eastern Canada,CUS-AH-COR-241,OFF-PA-241
Yes,ORD-242,Western US,CUS-JL-CON-242,FUR-TA-242
Yes,ORD-243,Oceania,CUS-EP-CON-243,FUR-BO-243
Yes,ORD-244,Eastern Asia,CUS-MS-CON-244,FUR-BO-244
Yes,ORD-245,Western Africa,CUS-CM-HOM-245,TEC-MA-245
Yes,ORD-246,Western US,CUS-JC-COR-246,FUR-TA-246
Yes,ORD-247,Northern Europe,CUS-GB-COR-247,TEC-CO-247
Yes,ORD-248,Central America,CUS-AH-COR-248,OFF-AR-248
Yes,ORD-249,Southeastern Asia,CUS-JH-CON-249,TEC-PH-249
Yes,ORD-250,Western US,CUS-MT-HOM-250,FUR-BO-250
Yes,ORD-251,Central America,CUS-AB-CON-251,TEC-CO-251
Yes,ORD-252,Northern Europe,CUS-AH-COR-252,OFF-AP-252
Yes,ORD-253,Western US,CUS-CV-COR-253,TEC-PH-253
Yes,ORD-254,Western Europe,CUS-NH-COR-254,FUR-TA-254
Yes,ORD-255,Eastern Asia,CUS-HJ-HOM-255,FUR-TA-255
Yes,ORD-256,Eastern Europe,CUS-JL-HOM-256,FUR-CH-256
Yes,ORD-257,Eastern Africa,CUS-MY-COR-257,OFF-AP-257
Yes,ORD-258,South America,CUS-AH-COR-258,OFF-LA-258
Yes,ORD-259,Western Europe,CUS-AH-COR-259,OFF-AR-259
Yes,ORD-260,Western Africa,CUS-AH-COR-260,OFF-BI-260
Yes,ORD-261,Eastern Europe,CUS-KC-CON-261,OFF-AP-261
Yes,ORD-262,North Africa,CUS-CS-CON-262,TEC-PH-262
Yes,ORD-263,North Africa,CUS-HA-CON-263,TEC-PH-263
Yes,ORD-264,Eastern Asia,CUS-MT-CON-264,TEC-MA-264
Yes,ORD-265,Oceania,CUS-FW-COR-265,FUR-BO-265
Yes,ORD-266,Southern Europe,CUS-BH-CON-266,TEC-PH-266
Yes,ORD-267,Central America,CUS-DK-CON-267,OFF-AP-267
Yes,ORD-268,Caribbean,CUS-KD-CON-268,FUR-CH-268
Yes,ORD-269,Central US,CUS-SC-CON-269,FUR-BO-269
Yes,ORD-270,Central America,CUS-CY-COR-270,TEC-CO-270
Yes,ORD-271,North Africa,CUS-HL-CON-271,TEC-CO-271
Yes,ORD-272,Central America,CUS-CT-CON-272,TEC-CO-272
Yes,ORD-273,Western US,CUS-CC-CON-273,OFF-AP-273
Yes,ORD-274,Central US,CUS-GR-COR-274,TEC-CO-274
Yes,ORD-275,Western Europe,CUS-TT-CON-275,FUR-CH-275
Yes,ORD-276,South America,CUS-PO-HOM-276,TEC-PH-276
Yes,ORD-277,Central Africa,CUS-ED-HOM-277,FUR-CH-277
Yes,ORD-278,Central US,CUS-AP-CON-278,OFF-AP-278
Yes,ORD-279,South America,CUS-TM-CON-279,TEC-CO-279
Yes,ORD-280,Southeastern Asia,CUS-AW-CON-280,TEC-CO-280
Yes,ORD-281,Western US,CUS-DP-COR-281,FUR-CH-281
Yes,ORD-282,Eastern Asia,CUS-AH-COR-282,OFF-PA-282
Yes,ORD-283,Southern Europe,CUS-SG-CON-283,TEC-CO-283
Yes,ORD-284,Western US,CUS-BM-CON-284,TEC-PH-284
Yes,ORD-285,Caribbean,CUS-FH-COR-285,TEC-PH-285
Yes,ORD-286,Western Asia,CUS-DK-CON-286,TEC-PH-286
Yes,ORD-287,South America,CUS-AS-CON-287,OFF-BI-287
Yes,ORD-288,Southern Asia,CUS-AS-CON-288,FUR-CH-288
Yes,ORD-289,Central America,CUS-AS-CON-289,FUR-TA-289
Yes,ORD-290,Western US,CUS-SF-CON-290,TEC-PH-290
Yes,ORD-291,Southern Asia,CUS-AS-CON-291,FUR-BO-291
Yes,ORD-292,Western Europe,CUS-JW-COR-292,TEC-PH-292
Yes,ORD-293,Western Asia,CUS-CC-HOM-293,TEC-PH-293
Yes,ORD-294,Southern US,CUS-RD-CON-294,OFF-AP-294
Yes,ORD-295,Southeastern Asia,CUS-BP-CON-295,OFF-AP-295
Yes,ORD-296,Southern Europe,CUS-SA-CON-296,FUR-BO-296
Yes,ORD-297,Southern US,CUS-EM-COR-297,FUR-BO-297
Yes,ORD-298,Eastern Asia,CUS-CS-COR-298,TEC-PH-298
Yes,ORD-299,Southern Asia,CUS-JD-CON-299,OFF-ST-299
Yes,ORD-300,South America,CUS-GH-CON-300,FUR-CH-300
Yes,ORD-301,North Africa,CUS-CM-CON-301,OFF-AP-301
Yes,ORD-302,Eastern Europe,CUS-JB-CON-302,TEC-PH-302
Yes,ORD-303,Eastern Asia,CUS-RB-HOM-303,TEC-PH-303
Yes,ORD-304,Oceania,CUS-RB-HOM-304,FUR-TA-304
Yes,ORD-305,Southern US,CUS-PO-HOM-305,FUR-BO-305
Yes,ORD-306,Eastern US,CUS-AS-CON-306,TEC-AC-306
Yes,ORD-307,Central America,CUS-TS-COR-307,FUR-TA-307
Yes,ORD-308,Central America,CUS-AS-CON-308,OFF-BI-308
Yes,ORD-309,Eastern Asia,CUS-MV-CON-309,TEC-PH-309
Yes,ORD-310,Oceania,CUS-AS-CON-310,TEC-AC-310
Yes,ORD-311,Caribbean,CUS-BD-HOM-311,FUR-CH-311
Yes,ORD-312,Southern Asia,CUS-PS-CON-312,FUR-BO-312
Yes,ORD-313,Southern Europe,CUS-FM-COR-313,TEC-CO-313
Yes,ORD-314,Southern Asia,CUS-CA-CON-314,TEC-PH-314
Yes,ORD-315,Central America,CUS-CD-HOM-315,FUR-BO-315
Yes,ORD-316,Western Europe,CUS-NL-HOM-316,OFF-ST-316
Yes,ORD-317,Western Europe,CUS-TB-CON-317,OFF-AP-317
Yes,ORD-318,Western Europe,CUS-NF-HOM-318,TEC-CO-318
Yes,ORD-319,South America,CUS-KD-COR-319,FUR-BO-319
Yes,ORD-320,Southern US,CUS-EH-HOM-320,OFF-ST-320
Yes,ORD-321,Northern Europe,CUS-KB-COR-321,FUR-BO-321
Yes,ORD-322,South America,CUS-CS-CON-322,TEC-PH-322
Yes,ORD-323,Western US,CUS-AS-CON-323,OFF-ST-323
Yes,ORD-324,Eastern Asia,CUS-MG-CON-324,TEC-CO-324
Yes,ORD-325,Southern US,CUS-VF-HOM-325,FUR-CH-325
Yes,ORD-326,Central America,CUS-AM-CON-326,TEC-CO-326
Yes,ORD-327,Central America,CUS-AS-CON-327,FUR-FU-327
Yes,ORD-328,Southern US,CUS-BP-CON-328,TEC-CO-328
Yes,ORD-329,South America,CUS-HZ-CON-329,FUR-BO-329
Yes,ORD-330,Northern Europe,CUS-AS-CON-330,FUR-FU-330
Yes,ORD-331,Eastern US,CUS-EM-COR-331,TEC-CO-331
Yes,ORD-332,Western Europe,CUS-AS-CON-332,OFF-AR-332
Yes,ORD-333,Southern US,CUS-BS-HOM-333,OFF-AP-333
Yes,ORD-334,Central America,CUS-DV-CON-334,FUR-BO-334
Yes,ORD-335,Caribbean,CUS-MB-CON-335,FUR-BO-335
Yes,ORD-336,Oceania,CUS-PC-HOM-336,OFF-ST-336
Yes,ORD-337,South America,CUS-CA-COR-337,TEC-PH-337
Yes,ORD-338,Southern US,CUS-AS-CON-338,OFF-FA-338
Yes,ORD-339,Western US,CUS-MB-CON-339,OFF-ST-339
Yes,ORD-340,Southern Europe,CUS-AS-CON-340,OFF-AP-340
Yes,ORD-341,Southern US,CUS-DB-CON-341,FUR-CH-341
Yes,ORD-342,Northern Europe,CUS-AS-CON-342,OFF-EN-342
Yes,ORD-343,Central US,CUS-BG-CON-343,OFF-AP-343
Yes,ORD-344,Western Europe,CUS-AS-CON-344,OFF-BI-344
Yes,ORD-345,Central Africa,CUS-AS-CON-345,OFF-ST-345
Yes,ORD-346,Caribbean,CUS-KB-CON-346,TEC-MA-346
Yes,ORD-347,Eastern Asia,CUS-PK-CON-347,FUR-TA-347
Yes,ORD-348,Southern Europe,CUS-CS-COR-348,TEC-AC-348
Yes,ORD-349,Central America,CUS-AS-CON-349,OFF-LA-349
Yes,ORD-350,Western US,CUS-AF-CON-350,OFF-ST-350
Yes,ORD-351,Caribbean,CUS-SJ-CON-351,FUR-TA-351
Yes,ORD-352,Eastern Europe,CUS-DM-COR-352,TEC-CO-352
Yes,ORD-353,Central America,CUS-AS-CON-353,OFF-ST-353
Yes,ORD-354,Eastern US,CUS-CC-COR-354,OFF-AP-354
Yes,ORD-355,Southern Europe,CUS-BW-CON-355,TEC-PH-355
Yes,ORD-356,Northern Europe,CUS-BE-HOM-356,TEC-CO-356
Yes,ORD-357,Southern Asia,CUS-TG-CON-357,OFF-AP-357
Yes,ORD-358,Central America,CUS-AS-CON-358,OFF-LA-358
Yes,ORD-359,Caribbean,CUS-AS-CON-359,OFF-BI-359
Yes,ORD-360,Western Europe,CUS-VM-HOM-360,FUR-BO-360
Yes,ORD-361,Central America,CUS-AS-CON-361,OFF-BI-361
Yes,ORD-362,Caribbean,CUS-SC-COR-362,FUR-CH-362
Yes,ORD-363,Central America,CUS-SN-HOM-363,TEC-PH-363
Yes,ORD-364,Oceania,CUS-CD-CON-364,FUR-TA-364
Yes,ORD-365,Northern Europe,CUS-CC-HOM-365,TEC-CO-365
Yes,ORD-366,Eastern Africa,CUS-BG-CON-366,TEC-MA-366
Yes,ORD-367,Eastern Asia,CUS-CC-CON-367,TEC-CO-367
Yes,ORD-368,Western Europe,CUS-AB-CON-368,TEC-CO-368
Yes,ORD-369,Western Europe,CUS-SV-CON-369,OFF-ST-369
Yes,ORD-370,Central US,CUS-HW-COR-370,FUR-BO-370
Yes,ORD-371,Western Europe,CUS-AS-COR-371,FUR-CH-371
Yes,ORD-372,Northern Europe,CUS-LD-COR-372,FUR-BO-372
Yes,ORD-373,Central America,CUS-NS-CON-373,TEC-CO-373
Yes,ORD-374,Southern Europe,CUS-CM-COR-374,FUR-CH-374
Yes,ORD-375,Western Africa,CUS-VG-COR-375,FUR-BO-375
Yes,ORD-376,South America,CUS-JD-CON-376,OFF-AP-376
