row_id,order_id,order_date,Shipping_date,Shipping_mode,shipping_cost,order_priority
20601,ID-2014-AD1018059-41801,2014-06-11,2014-06-15,Standard Class,455.71,High
12051,ES-2012-BP11155139-41130,2012-08-09,2012-08-16,Standard Class,454.81,Medium
25915,ID-2015-AA10480130-42080,2015-03-17,2015-03-21,Standard Class,452.6,High
21639,ID-2014-RL196157-41641,2014-01-02,2014-01-03,First Class,452.28,Medium
31648,CA-2014-AB10060140-41884,2014-09-02,2014-09-04,First Class,1.67,Critical
23229,ID-2013-SW2024559-41557,2013-10-10,2013-10-11,First Class,451.03,High
31646,CA-2014-AB10060140-41884,2014-09-02,2014-09-04,First Class,1.31,Critical
20674,IN-2012-BW1111027-41076,2012-06-16,2012-06-18,First Class,449.18,High
11331,ES-2015-YC21895139-42097,2015-04-03,2015-04-05,First Class,448.91,High
58,MX-2012-JM1558082-41045,2012-05-16,2012-05-19,Second Class,447.657,High
45091,BO-2015-MZ733513-42046,2015-02-11,2015-02-15,Second Class,446.33,High
18990,ES-2014-JF15295120-41924,2014-10-12,2014-10-12,Same Day,443.92,Critical
34330,CA-2015-AB10060140-42264,2015-09-17,2015-09-22,Standard Class,1.23,High
51130,UP-2015-DJ3510137-42202,2015-07-17,2015-07-19,Second Class,443.55,Critical
14405,ES-2015-MF1825045-42330,2015-11-22,2015-11-28,Standard Class,442.49,Low
10745,IT-2012-TC2129545-41058,2012-05-29,2012-06-01,First Class,440.25,Critical
40794,CA-2015-AB10060140-42314,2015-11-06,2015-11-08,First Class,1.21,High
25850,IN-2015-CP1234058-42202,2015-07-17,2015-07-20,First Class,439.65,Medium
16109,ES-2015-EH1412545-42245,2015-08-29,2015-09-03,Standard Class,439.41,Medium
22515,IN-2013-NC183407-41634,2013-12-26,2013-12-26,Same Day,439.03,Critical
29269,IN-2015-BF1100558-42319,2015-11-11,2015-11-15,Standard Class,438.89,High
29651,ID-2014-JS1603059-41760,2014-05-01,2014-05-04,Second Class,437.85,Critical
10670,ES-2012-AM10360139-41136,2012-08-15,2012-08-20,Standard Class,433.41,Medium
24859,IN-2015-JF1519021-42341,2015-12-03,2015-12-07,Standard Class,432.57,High
24466,IN-2014-AB100157-41815,2014-06-25,2014-06-29,Standard Class,432.15,High
15359,ES-2014-JG15160139-41660,2014-01-21,2014-01-24,Second Class,432.13,Medium
39745,CA-2015-AH10075140-42301,2015-10-24,2015-10-25,First Class,188.95,Critical
21670,IN-2015-AG1033059-42197,2015-07-12,2015-07-14,Second Class,430.04,Critical
39744,CA-2015-AH10075140-42301,2015-10-24,2015-10-25,First Class,79.52,Critical
17548,ES-2015-NF1847548-42248,2015-09-01,2015-09-01,Same Day,428.83,Critical
39742,CA-2015-AH10075140-42301,2015-10-24,2015-10-25,First Class,68.01,Critical
20861,IN-2012-DR129407-41066,2012-06-06,2012-06-10,Second Class,427.46,Medium
17907,ES-2012-NB1865548-41194,2012-10-12,2012-10-12,Same Day,427.24,Critical
24361,IN-2014-NM1844527-41800,2014-06-10,2014-06-10,Same Day,427.1,Critical
29968,IN-2015-TA213857-42351,2015-12-13,2015-12-17,Standard Class,426.09,Medium
32221,CA-2014-AH10075140-41898,2014-09-16,2014-09-21,Standard Class,57.49,Medium
28875,ID-2015-SC20380102-42165,2015-06-10,2015-06-11,First Class,424.81,High
48781,SF-2012-PA9060117-40954,2012-02-15,2012-02-16,First Class,422.25,Critical
15922,ES-2014-RB19570120-41971,2014-11-28,2014-12-04,Standard Class,419.38,Low
39983,CA-2014-AH10075140-41817,2014-06-27,2014-06-27,Same Day,43.08,Critical
33163,CA-2015-AH10075140-42110,2015-04-16,2015-04-19,First Class,36.52,Medium
2641,US-2012-LH1675036-41129,2012-08-08,2012-08-08,Same Day,417.99,High
39711,CA-2014-AH10075140-41991,2014-12-18,2014-12-22,Standard Class,11.15,Medium
26068,IN-2013-KB1658527-41488,2013-08-02,2013-08-04,First Class,416.74,High
10306,ES-2013-LH1715545-41444,2013-06-19,2013-06-19,Same Day,416.33,High
41716,CA-2015-AH1007523-42101,2015-04-07,2015-04-12,Standard Class,11.13,High
44140,IR-2014-MZ751560-41853,2014-08-02,2014-08-02,Same Day,415.01,Critical
29226,IN-2015-DM1334558-42146,2015-05-22,2015-05-25,Second Class,413.95,Critical
27720,ID-2012-CA1196566-40949,2012-02-10,2012-02-15,Standard Class,413.8,Medium
11073,ES-2014-SC20305120-41909,2014-09-27,2014-09-27,Same Day,411.64,Critical
24030,IN-2015-MH1811558-42157,2015-06-02,2015-06-04,First Class,411.06,Critical
30202,IN-2014-KS163007-41912,2014-09-30,2014-10-03,First Class,410.88,Critical
27230,IN-2012-BG1174078-41108,2012-07-18,2012-07-19,First Class,410.22,High
51284,RS-2015-CR2625108-42230,2015-08-14,2015-08-16,Second Class,410.05,Medium
39743,CA-2015-AH10075140-42301,2015-10-24,2015-10-25,First Class,8.98,Critical
28198,IN-2015-DK1309027-42308,2015-10-31,2015-11-03,First Class,406.53,High
26028,IN-2014-JL1583527-41845,2014-07-25,2014-07-30,Standard Class,404.97,Medium
26325,IN-2015-AP1072058-42284,2015-10-07,2015-10-11,Standard Class,404.08,High
21924,IN-2015-CR1282058-42294,2015-10-17,2015-10-21,Standard Class,403.97,High
30113,IN-2014-BF110807-41976,2014-12-03,2014-12-06,Second Class,403.46,Critical
30105,IN-2015-JM15265102-42316,2015-11-08,2015-11-10,First Class,403.26,High
24363,IN-2014-NM1844527-41800,2014-06-10,2014-06-10,Same Day,403.15,Critical
19902,IT-2012-TW2102545-41172,2012-09-20,2012-09-22,Second Class,401.25,Critical
13998,IT-2012-RB1933045-41080,2012-06-20,2012-06-23,First Class,401.13,High
38383,CA-2015-AH10075140-42273,2015-09-26,2015-09-29,First Class,8.72,Medium
37340,CA-2015-AH10075140-42144,2015-05-20,2015-05-25,Second Class,6.19,Medium
47087,SF-2015-AB10060117-42334,2015-11-26,2015-11-29,Second Class,400.03,Critical
49833,EG-2013-JR567038-41363,2013-03-30,2013-04-01,First Class,399.96,Critical
2080,MX-2012-MD1735028-41222,2012-11-09,2012-11-14,Second Class,399.849,Medium
39746,CA-2015-AH10075140-42301,2015-10-24,2015-10-25,First Class,5.97,Critical
10303,ES-2013-EB13840139-41487,2013-08-01,2013-08-06,Second Class,398.5,Medium
39710,CA-2014-AH10075140-41991,2014-12-18,2014-12-22,Standard Class,4.93,Medium
39984,CA-2014-AH10075140-41817,2014-06-27,2014-06-27,Same Day,4.89,Critical
39985,CA-2014-AH10075140-41817,2014-06-27,2014-06-27,Same Day,2.73,Critical
41838,AJ-2014-JL58359-41662,2014-01-23,2014-01-27,Standard Class,393.62,High
28110,IN-2012-EP1391559-41049,2012-05-20,2012-05-24,Second Class,393.58,High
12449,ES-2015-MS17770139-42275,2015-09-28,2015-10-01,First Class,393.46,High
17848,IT-2012-CM1265545-41218,2012-11-05,2012-11-07,First Class,390.2,Critical
46219,LH-2015-JC610575-42032,2015-01-28,2015-01-30,Second Class,390.09,High
26932,IN-2015-GB145307-42260,2015-09-13,2015-09-19,Standard Class,386.38,Medium
32866,CA-2015-AH10075140-42335,2015-11-27,2015-12-01,Standard Class,1.88,Medium
4817,US-2012-JH161805-41264,2012-12-21,2012-12-23,First Class,386.003,High
50593,EG-2014-MT807038-41675,2014-02-05,2014-02-07,Second Class,384.41,Critical
25445,IN-2012-AB1010558-41270,2012-12-27,2012-12-28,First Class,383.68,Critical
39747,CA-2015-AH10075140-42301,2015-10-24,2015-10-25,First Class,1.64,Critical
50000,LT-2012-CV280572-41025,2012-04-26,2012-04-29,First Class,383.01,High
30934,IN-2012-NH1861092-41187,2012-10-05,2012-10-10,Standard Class,382.77,High
21667,ID-2014-HJ1487527-41875,2014-08-24,2014-08-26,Second Class,382.1,Critical
8870,MX-2014-JL1517518-41903,2014-09-21,2014-09-24,Second Class,381.219,Critical
1899,MX-2015-MY1829593-42355,2015-12-17,2015-12-19,First Class,381.14,Critical
36279,CA-2012-AH10075140-41228,2012-11-15,2012-11-21,Standard Class,1.51,Medium
39051,CA-2013-AH10075140-41629,2013-12-21,2013-12-23,Second Class,1.38,High
38382,CA-2015-AH10075140-42273,2015-09-26,2015-09-29,First Class,1.37,Medium
9857,MX-2015-KC1654093-42158,2015-06-03,2015-06-07,Standard Class,378.258,High
2398,MX-2015-CS1246093-42259,2015-09-12,2015-09-14,First Class,377.704,Critical
20610,IN-2015-HA1492027-42111,2015-04-17,2015-04-17,Same Day,377.58,Critical
19446,ES-2013-MT1781545-41599,2013-11-21,2013-11-24,Second Class,377.03,Critical
11606,ES-2015-FW1439545-42069,2015-03-06,2015-03-08,First Class,376.88,Critical
16161,ES-2013-BH1171048-41478,2013-07-23,2013-07-28,Standard Class,376.58,High
25761,ID-2015-DK1289559-42315,2015-11-07,2015-11-09,First Class,374.8,High
6594,MX-2015-KD1627018-42330,2015-11-22,2015-11-24,First Class,374.376,Critical
17380,ES-2012-SC208458-41070,2012-06-10,2012-06-13,First Class,372.5,High
3503,MX-2013-CY1274582-41531,2013-09-14,2013-09-19,Standard Class,372.318,High
23537,IN-2012-HL150407-41237,2012-11-24,2012-11-24,Same Day,371.74,Critical
26037,IN-2013-CT1199566-41496,2013-08-10,2013-08-12,First Class,371.51,High
20266,ES-2014-CC12370139-41718,2014-03-20,2014-03-23,Second Class,369.98,High
42956,LT-2014-GR456072-42003,2014-12-30,2015-01-04,Standard Class,369.73,Medium
21995,IN-2013-TT2107058-41551,2013-10-04,2013-10-09,Standard Class,369.4,High
15570,IT-2013-PO19195120-41492,2013-08-06,2013-08-07,First Class,369.17,Critical
25831,IN-2013-ED13885144-41549,2013-10-02,2013-10-02,Same Day,368.44,High
29383,IN-2015-AP1091559-42089,2015-03-26,2015-03-29,First Class,367.57,Critical
879,MX-2015-TM2149031-42329,2015-11-21,2015-11-21,Same Day,367.549,High
16997,IT-2012-AW1084091-41242,2012-11-29,2012-11-30,First Class,367.35,Critical
21287,IN-2012-DP131057-41215,2012-11-02,2012-11-04,Second Class,366.89,Critical
37341,CA-2015-AH10075140-42144,2015-05-20,2015-05-25,Second Class,1.26,Medium
47029,RO-2013-SG10605107-41614,2013-12-06,2013-12-06,Same Day,366.58,High
8378,MX-2014-BM1178582-41976,2014-12-03,2014-12-04,First Class,365.902,High
2496,MX-2013-FH1436582-41628,2013-12-20,2013-12-24,Standard Class,365.652,High
990,MX-2013-DK1337582-41530,2013-09-13,2013-09-15,Second Class,365.2,Medium
34756,CA-2015-AS10090140-42264,2015-09-17,2015-09-19,First Class,209.3,Critical
40955,CA-2012-AS10090140-41173,2012-09-21,2012-09-28,Standard Class,64.56,Medium
33285,CA-2013-AS10090140-41587,2013-11-09,2013-11-13,Standard Class,62.17,Medium
43395,TU-2013-SF10200134-41417,2013-05-23,2013-05-26,First Class,363.73,High
36524,CA-2014-AS10090140-41812,2014-06-22,2014-06-27,Standard Class,48.18,High
46991,SG-2015-JW5220111-42108,2015-04-14,2015-04-17,Second Class,363.16,Medium
9711,MX-2015-CC1210082-42245,2015-08-29,2015-09-02,Standard Class,363.1,High
31138,ID-2015-RD1993092-42140,2015-05-16,2015-05-18,Second Class,360.04,High
46655,CM-2013-BP123022-41621,2013-12-13,2013-12-15,First Class,359.58,Critical
10365,ES-2012-SA20830139-40998,2012-03-30,2012-04-03,Standard Class,359.28,High
21500,IN-2013-EM1381058-41308,2013-02-03,2013-02-07,Second Class,359.27,Medium
28108,IN-2014-CS12175130-41788,2014-05-29,2014-06-01,Second Class,359.09,Medium
16456,IT-2013-JD16060120-41515,2013-08-29,2013-09-01,First Class,358.96,Critical
23791,IN-2012-GH1466527-41074,2012-06-14,2012-06-16,First Class,358.85,Critical
28128,IN-2015-CM1193527-42244,2015-08-28,2015-08-31,First Class,358.51,Medium
4585,MX-2012-JB1600093-41208,2012-10-26,2012-10-27,First Class,358.176,Critical
41299,RS-2015-RB9465108-42082,2015-03-19,2015-03-23,Second Class,357.89,Medium
8753,MX-2015-RB1979518-42258,2015-09-11,2015-09-18,Standard Class,357.789,Low
31293,ID-2013-PO191957-41514,2013-08-28,2013-08-28,Same Day,357.21,Critical
34753,CA-2015-AS10090140-42264,2015-09-17,2015-09-19,First Class,16.53,Critical
31033,IN-2014-TS212057-41852,2014-08-01,2014-08-04,Second Class,356.84,Critical
36523,CA-2014-AS10090140-41812,2014-06-22,2014-06-27,Standard Class,15.46,High
49752,SF-2015-MV8190117-42362,2015-12-24,2015-12-27,First Class,355.92,Medium
34757,CA-2015-AS10090140-42264,2015-09-17,2015-09-19,First Class,13.56,Critical
20145,ES-2013-BD11560139-41327,2013-02-22,2013-02-25,First Class,355.06,High
24211,IN-2015-PS1876059-42288,2015-10-11,2015-10-13,Second Class,354.47,Critical
4027,US-2015-FM1421551-42115,2015-04-21,2015-04-23,Second Class,354.423,Critical
23212,IN-2014-CA1277558-41802,2014-06-12,2014-06-17,Standard Class,353.85,Medium
14952,ES-2014-CD1279048-41899,2014-09-17,2014-09-20,First Class,353.57,High
30312,IN-2015-NL1831092-42266,2015-09-19,2015-09-19,Same Day,353.42,Critical
11657,IT-2015-TB2105545-42334,2015-11-26,2015-12-03,Standard Class,353.04,Medium
